Period-6 dynatomic polynomial in u = x^3
Degree: 232
Leading coefficient: 1003405644495656286329734141694663036598497182761122991635195117231778758288712103530633116985679987867648
Constant term: 83076749736557242056487941267521536

All coefficients (lowest to highest degree):
  u^0: 83076749736557242056487941267521536
  u^1: 37340402858153212890577064351586320384
  u^2: 8910951101107709995095465407052043517952
  u^3: 1491684946136759074083938533447492817649664
  u^4: 195290104901431442893837887703773681337499648
  u^5: 21155385842227606863562885937958146209461829632
  u^6: 1961631819327536509513916438349028485699148447744
  u^7: 159241280546024963118999100399861051136947074891776
  u^8: 11501461225916189812862314192007731179928889359073280
  u^9: 748234941495900702269806447060015732308629353366814720
  u^10: 44272219417126161402191683539742393634938744631656972288
  u^11: 2401491373603051041923766277155476687432429584183789092864
  u^12: 120217633788284668909728386438945985563325028084557126041600
  u^13: 5585221751661070321644500937278097643012657845879026439159808
  u^14: 241993719466011268655275401864903310898043733855443642419773440
  u^15: 9819520473758496244459953944481006429247276025126299809823588352
  u^16: 374545156465624477450580793070064658628298515354827005387308269568
  u^17: 13472963021387189371687608987052159374140891383541070294808283578368
  u^18: 458380736733264191500510859342775599250877920294072712701244008824832
  u^19: 14788328203441657151866814656364450377701013976403393452900237143179264
  u^20: 453473346099324158226994861278835690242832292514171479738725253290917888
  u^21: 13244517202741638786586670454643821343070806374798266160642804415287263232
  u^22: 369146132640171790955921161206473527493377060029284806660707840725121761280
  u^23: 9835352058089492326304788938134139791513598697004051301598852761089187250176
  u^24: 250897961413370803684425353946322494211688464551310086938738384534061126254592
  u^25: 6136895175017230791343018992257975882090246186686826536000748564531780209606656
  u^26: 144119402786411118757572587086512920805725067702714252818917076796751963679096832
  u^27: 3253501301396676333616286000479700922930182578708869726195079393600841552937091072
  u^28: 70684884393682032593798031623157962734507123012426018793333099500043823743428984832
  u^29: 1479466914657751919173870461667334538272043277716015922184867635047826978178303262720
  u^30: 29861436242824665463954593043758870784662709925657448383616495976821335742133766717440
  u^31: 581750957346616265741016652209221959909367428694794298340445374075797939636616204124160
  u^32: 10948438519832569613186610736063581004689548711039099800837679193394141916154383076163584
  u^33: 199204650792789673295719000551440670935961044803693083815685764938454360636604531217530880
  u^34: 3506715536524865025162137576414445526857811589797506820250165632264871743922214440863268864
  u^35: 59766365768617546055525695078037366073280054619290637178417834266279148479778796525427097600
  u^36: 986850748256886266425027570359858862251811220834805271066098150071843133434884383185605492736
  u^37: 15796125733416859157734396516564288131648388550756753149518213769494617039884653524335923822592
  u^38: 245247603808764395394155673556050329234388654317226226234105207977035407018774087229540218699776
  u^39: 3695304992643190246965000495603976855861256356005706792593024685117373510594749147996526379794432
  u^40: 54064238367484235870093833777005966522071938358391443232158303363357920517277446845964123519057920
  u^41: 768413211360914803761619249286933346300975038279907568721714125036275377714767607510439903914754048
  u^42: 10614601795182709694919516939686237266441726146061613447331220676103955225230273115134978405788352512
  u^43: 142569069658166318009472807204677317132307784540886912859660427143814507963782599043038737289282650112
  u^44: 1862680242495657178767605061334354513190563401706322858532895605459174036664344929944757823073053671424
  u^45: 23681656363607729247844916069708780589244650442429843479804179200106596577468010292214013936339251871744
  u^46: 293094276052846017521670314606983571068855556697525680192591181107594224379185190484991812027409768882176
  u^47: 3532455397424493865586551241255442158719460599061219483819163350622214985570230640102896293369240990904320
  u^48: 41472964962234980594332338180090045853201849068059693160310638423582280296971276731227693769599002570489856
  u^49: 474471697622151239449529693203164312822475141843240465042489385984440942297195763873138480295226846753947648
  u^50: 5291068512467764005783816210599665087425014486473337974675758857261421120930145009299850537110741988655609856
  u^51: 57529280156645344629317828899462392563413713700780948931826324656302273414472212691624609263374497609566196736
  u^52: 610050207014603873477462392147888921477953434603883465525206550535249355655597740547465965833500233620548409344
  u^53: 6310825837719120236537198842627531161280763818010119707057723717972465630932637004441833449189730380484586847232
  u^54: 63702762845109326023028995491725217944189692718955986552253264319208203908546600526085335888501302481384869113344
  u^55: 627601742922859781864553816800590767860403215395075581165534662748428806139251266612262161886259113338271908026624
  u^56: 6036167304635005230965468969512123842400283940144540006023967137693036854606805833320703266789770150520489654884352
  u^57: 56686867173700190796028013363151214241968417399092790064875603555186821733454039458493798899022997116929404349118464
  u^58: 519919461371764365016352536265187794870483999580423891877810529967889465756615829362756643297902463122369309494358400
  u^59: 4658072666293424457395664082652061713572431381035212300258135899532957770869651384761705123035120074253757395020663232
  u^60: 40773040835444077118979532781510058735932768486132559535093185635077588496301748792380984563032193496060261646201176064
  u^61: 348748878326954802074332018164352034641838952842851689250648437786389683374607588163430721970688810647057630777387810048
  u^62: 2915398431616068100505130085760672849191822607743533323310600459805799037028493630217621464010220636331555735684696348544
  u^63: 23823048424521437534197173128065006522807480776830793970234010402487439406052264897441294241299997406256658440778942694144
  u^64: 190316565848214292678644873093598316045026838002773829859433522882143943893844878460090823368740276038422697775400529199680
  u^65: 1486612980406290951506826594061336512315482172513176266619231722735824670052448664255149062652573453748478100408828788144160
  u^66: 11355869023589847759439786159422433118182876366105384411417948626392000855700837272826979654757637573293262805664280081445712
  u^67: 84839862399739382283551194673453433219631184233625390365270805190302457724038016525791124425642276170674788910446802003967584
  u^68: 619997176366052343553823047380098157011063432109301653296636827502371606178312488875225217351047534490740725168195190260715552
  u^69: 4432409125893329923719035256294709390894126551036815572480864530988695691376019223180789602595231296984507359507709646917656072
  u^70: 31002575914087022391338813439998355770832239905393090840683821272893799044251573922833896250195372739347306085374024223668583868
  u^71: 212181880665482393230316652170368162135066534696667267151071089099676463607214445443213820577303029784886503788904691562747519240
  u^72: 1421063741033741927088649520915234761799430993304919205481947404690222692878110225793333542800736652969133748974094506738705643064
  u^73: 9314364498424113395235451530538492264499637120634886581984437046775817377750970539545863617916732048812516632355189618297345793876
  u^74: 59753661068302711657057262704071368867930849374646148124999324822784316809382000727184893504109172892345815803532845617403852793444
  u^75: 375216789513051797059584646685375940618856185543148371626760699337162805776636224760499387016907262408626405761862519663734121229970
  u^76: 2306423093505348819100751043991917071113788802902252614402064492978796848228210748224849254606491478845032302039602291075493534118780
  u^77: 13879215598360787005893750675614987946786819309559201912009057479417790647639732600810467391766060463012728141219464190032678937564188
